model,n_params,psnr_mean,psnr_std,ssim_mean,fss_mean,csi_mean,recall_mean,latency_mean
SRCNN#1,4721,18.609961091010753,2.657475859783932,0.6015262484314357,0.9139599267586872,0.6977360346405319,0.995734026378317,27.44187461249954
SRCNN#0,4721,17.959420938584408,2.7292750475170773,0.6375797348835589,0.8992060927375829,0.6676034484113421,0.9956046737357326,27.507762250000134
ESPCN#1,3316,17.521162237924578,2.6067030800909237,0.6137980723573726,0.8950445791311337,0.6585448705458334,0.9910470445668399,3.38439194999971
ESPCN#0,3316,17.496494792663842,2.6492369577815307,0.6238796809940574,0.8935309246650119,0.6635771557656329,0.9918989599713895,3.3997235499999334
SwinIR-Light-Lite#0,4825,17.473956743296377,2.444361441706942,0.3681303806126767,0.9005711474677637,0.6389623182166579,0.9872823144008896,20.62322948750044
EDSR-Lite#1,8077,16.53027795164763,2.409506413856561,0.38678500922422593,0.8776496224823,0.6095928602304457,0.9792984317356992,32.08322796250016
RLFN-Lite#1,1396,16.170597869935694,2.5146854776052368,0.4413844664172075,0.8891222826797854,0.6157549133256148,0.9638432547561163,1.5901659624997677
EDSR-Lite#0,8077,15.393841757875402,2.451559921845197,0.3327112744472971,0.8955351653408049,0.6022387147334783,0.9345221164249513,35.915673237499846
CRMN-Lite#0,1374,14.547220661336995,2.336225290564689,0.16989168845149175,0.8376330192430647,0.5315093715165797,0.9286273264488935,3.2326828125000873
RLFN-Lite#0,1396,14.329832224524502,2.4214107065420563,0.3066811664876784,0.865422494007976,0.5416877928457451,0.8856036778418923,1.6368126250004167
CRMN-Lite#1,1374,14.029360288388872,2.416743643075317,0.1696829483687469,0.8443646581980573,0.5252813331073768,0.9051791545365263,3.642801950000063
SwinIR-Light-Lite#1,4825,13.976394781964357,2.2512644974074925,0.13847177767618798,0.8613011052928768,0.504758336570123,0.8782171214770027,22.723082850000154
