regime,regime_weight,critical,RadarCover-Multicover,Top-K,Full-Ensemble,Best-Single,Pareto-Pruning,Traditional-Set-Cover,Random-Pruning,Diversity-Based
0,0.598,False,22.59±0.02,22.69±0.01,22.31±0.01,22.46±0.02,21.85±0.02,22.06±0.02,22.08±0.01,21.85±0.02
1,0.84,True,18.74±0.01,18.91±0.01,18.73±0.01,18.71±0.01,18.20±0.01,18.15±0.01,18.29±0.00,18.20±0.01
2,1.366,True,18.35±0.01,18.58±0.00,18.38±0.01,18.23±0.01,17.72±0.00,17.54±0.01,17.72±0.01,17.72±0.00
3,0.835,False,19.08±0.00,19.22±0.00,18.95±0.00,19.02±0.01,18.45±0.00,18.47±0.01,18.55±0.02,18.45±0.00
4,1.204,True,14.77±0.00,14.88±0.00,14.67±0.01,14.89±0.01,14.21±0.01,14.30±0.00,14.56±0.00,14.21±0.01
5,0.862,False,17.63±0.00,17.73±0.00,17.51±0.00,17.57±0.01,17.03±0.00,17.01±0.00,17.15±0.00,17.03±0.00
6,0.673,False,21.43±0.01,21.53±0.01,21.22±0.01,21.30±0.02,20.74±0.00,20.79±0.01,20.83±0.00,20.74±0.00
7,0.769,True,19.28±0.01,19.47±0.01,19.28±0.01,19.17±0.00,18.74±0.01,18.70±0.00,18.90±0.01,18.74±0.01
8,1.1,True,17.56±0.00,17.73±0.00,17.48±0.00,17.45±0.01,16.89±0.00,16.87±0.00,17.01±0.00,16.89±0.00
9,0.899,False,20.61±0.01,20.55±0.01,20.34±0.01,20.54±0.00,19.89±0.01,19.92±0.01,20.23±0.02,19.89±0.01
10,1.376,True,22.72±0.01,23.01±0.00,22.86±0.01,22.47±0.01,22.01±0.01,21.56±0.01,21.86±0.01,22.01±0.01
11,1.216,False,16.14±0.01,16.32±0.02,16.12±0.02,16.29±0.02,15.87±0.03,15.92±0.04,16.03±0.03,15.87±0.03
12,1.022,True,15.55±0.01,15.64±0.02,15.42±0.01,15.63±0.01,14.96±0.01,15.04±0.01,15.14±0.02,14.96±0.01
13,1.55,True,14.37±0.01,14.62±0.01,14.47±0.01,14.33±0.01,13.89±0.01,13.89±0.01,14.04±0.01,13.89±0.01
14,0.984,True,17.39±0.01,17.61±0.01,17.39±0.01,17.34±0.01,16.85±0.00,16.82±0.01,16.90±0.01,16.85±0.00
15,0.704,False,22.47±0.01,22.50±0.01,22.33±0.00,22.44±0.01,21.75±0.00,21.81±0.01,21.98±0.02,21.75±0.00
